"","V1"
"556",2233.3400878906
"557",1998.8599853516
"558",1929.8199462891
"559",2228.4099121094
"560",2318.8798828125
"561",2273.4299316406
"562",2817.6000976563
"563",2667.7600097656
"564",2810.1201171875
"565",2730.3999023438
"566",2754.8601074219
"567",2576.4799804688
"568",2529.4499511719
"569",2671.7800292969
"570",2809.0100097656
"571",2726.4499511719
"572",2757.1799316406
"573",2875.3400878906
"574",2718.2600097656
"575",2710.669921875
"576",2804.7299804688
"577",2895.8898925781
"578",3252.9099121094
"579",3213.9399414063
"580",3378.9399414063
"581",3419.9399414063
"582",3342.4699707031
"583",3381.2800292969
"584",3650.6201171875
"585",3884.7099609375
"586",4073.2600097656
"587",4325.1298828125
"588",4181.9301757813
"589",4376.6298828125
"590",4331.6899414063
"591",4160.6201171875
"592",4193.7001953125
"593",4087.6599121094
"594",4001.7399902344
"595",4100.5200195313
"596",4151.5200195313
"597",4334.6801757813
"598",4371.6000976563
"599",4352.3999023438
"600",4382.8798828125
"601",4382.66015625
"602",4579.0200195313
"603",4565.2998046875
"604",4703.3901367188
"605",4892.009765625
"606",4578.7700195313
"607",4582.9599609375
"608",4236.3100585938
"609",4376.5297851563
"610",4597.1201171875
"611",4599.8798828125
"612",4228.75
"613",4226.0600585938
"614",4122.9399414063
"615",4161.2700195313
"616",4130.8100585938
"617",3882.5900878906
"618",3154.9499511719
"619",3637.5200195313
"620",3625.0400390625
"621",3582.8798828125
"622",4065.1999511719
"623",3924.9699707031
"624",3905.9499511719
"625",3631.0400390625
"626",3630.6999511719
"627",3792.3999023438
"628",3682.8400878906
"629",3926.0700683594
"630",3892.3500976563
"631",4200.669921875
"632",4174.7299804688
"633",4163.0698242188
"634",4338.7099609375
"635",4403.740234375
"636",4409.3198242188
"637",4317.4799804688
"638",4229.3598632813
"639",4328.41015625
"640",4370.8100585938
"641",4426.8901367188
"642",4610.4799804688
"643",4772.0200195313
"644",4781.990234375
"645",4826.4799804688
"646",5446.91015625
"647",5647.2099609375
"648",5831.7900390625
"649",5678.1899414063
"650",5725.58984375
"651",5605.509765625
"652",5590.6899414063
"653",5708.5200195313
"654",6011.4501953125
"655",6031.6000976563
"656",6008.419921875
"657",5930.3198242188
"658",5526.6401367188
"659",5750.7998046875
"660",5904.830078125
"661",5780.8999023438
"662",5753.08984375
"663",6153.8500976563
"664",6130.5297851563
"665",6468.3999023438
"666",6767.3100585938
"667",7078.5
"668",7207.759765625
"669",7379.9501953125
"670",7407.41015625
"671",7022.759765625
"672",7144.3798828125
"673",7459.6899414063
"674",7143.580078125
"675",6618.1401367188
"676",6357.6000976563
"677",5950.0698242188
"678",6559.490234375
"679",6635.75
"680",7315.5400390625
"681",7871.6899414063
